Generating pseudo labels for c data
pseudo label correct rate is 0.8783333333333333
Data statistic {'p': 591, 'b': 600, 'i': 600}
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
PromptGenerator                          106,496
├─ParameterList: 1-1                     24,576
=================================================================
Total params: 131,072
Trainable params: 131,072
Non-trainable params: 0
=================================================================
PromptGenerator =================================================================
Layer (type:depth-idx)                   Param #
=================================================================
PromptGenerator                          106,496
├─ParameterList: 1-1                     24,576
=================================================================
Total params: 131,072
Trainable params: 131,072
Non-trainable params: 0
=================================================================
name: ctx_cls, shape torch.Size([12, 16, 512]), require grad: True
name: ctx_target, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.0, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.1, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.2, shape torch.Size([1, 16, 512]), require grad: True
Best accuracy so far: 0.8315972222222222, step 1, accuracy 0.8315972222222222
Best accuracy so far: 0.8958333333333334, step 2, accuracy 0.8958333333333334
Best accuracy so far: 0.9201388888888888, step 3, accuracy 0.9201388888888888
Best accuracy so far: 0.9357638888888888, step 4, accuracy 0.9357638888888888
Best accuracy so far: 0.9392361111111112, step 5, accuracy 0.9392361111111112
Best accuracy so far: 0.9461805555555556, step 6, accuracy 0.9461805555555556
Best accuracy so far: 0.9461805555555556, step 7, accuracy 0.9409722222222222
Best accuracy so far: 0.9461805555555556, step 8, accuracy 0.9444444444444444
Best accuracy so far: 0.9496527777777778, step 9, accuracy 0.9496527777777778
Best accuracy so far: 0.9618055555555556, step 10, accuracy 0.9618055555555556
Best accuracy so far: 0.9704861111111112, step 11, accuracy 0.9704861111111112
Best accuracy so far: 0.9774305555555556, step 12, accuracy 0.9774305555555556
Best accuracy so far: 0.9774305555555556, step 13, accuracy 0.9756944444444444
Best accuracy so far: 0.9774305555555556, step 14, accuracy 0.9722222222222222
Best accuracy so far: 0.9774305555555556, step 15, accuracy 0.9548611111111112
Best accuracy so far: 0.9774305555555556, step 16, accuracy 0.9427083333333334
Best accuracy so far: 0.9774305555555556, step 17, accuracy 0.9513888888888888
Best accuracy so far: 0.9774305555555556, step 18, accuracy 0.9444444444444444
Best accuracy so far: 0.9774305555555556, step 19, accuracy 0.9409722222222222
Best accuracy so far: 0.9774305555555556, step 20, accuracy 0.9479166666666666
Best accuracy so far: 0.9774305555555556, step 21, accuracy 0.9409722222222222
Best accuracy so far: 0.9774305555555556, step 22, accuracy 0.9340277777777778
Best accuracy so far: 0.9774305555555556, step 23, accuracy 0.9305555555555556
Best accuracy so far: 0.9774305555555556, step 24, accuracy 0.9305555555555556
Best accuracy so far: 0.9774305555555556, step 25, accuracy 0.9305555555555556
Best accuracy so far: 0.9774305555555556, step 26, accuracy 0.9322916666666666
Best accuracy so far: 0.9774305555555556, step 27, accuracy 0.9253472222222222
Best accuracy so far: 0.9774305555555556, step 28, accuracy 0.9288194444444444
Best accuracy so far: 0.9774305555555556, step 29, accuracy 0.9375
Best accuracy so far: 0.9774305555555556, step 30, accuracy 0.9375
Best accuracy so far: 0.9774305555555556, step 31, accuracy 0.9409722222222222
Best accuracy so far: 0.9774305555555556, step 32, accuracy 0.9479166666666666
Best accuracy so far: 0.9774305555555556, step 33, accuracy 0.9392361111111112
Best accuracy so far: 0.9774305555555556, step 34, accuracy 0.9565972222222222
Best accuracy so far: 0.9774305555555556, step 35, accuracy 0.9565972222222222
Best accuracy so far: 0.9774305555555556, step 36, accuracy 0.9461805555555556
Best accuracy so far: 0.9774305555555556, step 37, accuracy 0.9444444444444444
Best accuracy so far: 0.9774305555555556, step 38, accuracy 0.9479166666666666
Best accuracy so far: 0.9774305555555556, step 39, accuracy 0.9427083333333334
