Generating pseudo labels for art data
pseudo label correct rate is 0.7124021425628347
Data statistic {'clipart': 4365, 'product': 4439, 'real_world': 4357}
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
PromptGenerator                          540,672
├─ParameterList: 1-1                     24,576
=================================================================
Total params: 565,248
Trainable params: 565,248
Non-trainable params: 0
=================================================================
PromptGenerator =================================================================
Layer (type:depth-idx)                   Param #
=================================================================
PromptGenerator                          540,672
├─ParameterList: 1-1                     24,576
=================================================================
Total params: 565,248
Trainable params: 565,248
Non-trainable params: 0
=================================================================
name: ctx_cls, shape torch.Size([65, 16, 512]), require grad: True
name: ctx_target, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.0, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.1, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.2, shape torch.Size([1, 16, 512]), require grad: True
Best accuracy so far: 0.41375, step 1, accuracy 0.41375
Best accuracy so far: 0.5370833333333334, step 2, accuracy 0.5370833333333334
Best accuracy so far: 0.6108333333333333, step 3, accuracy 0.6108333333333333
Best accuracy so far: 0.6670833333333334, step 4, accuracy 0.6670833333333334
Best accuracy so far: 0.685, step 5, accuracy 0.685
Best accuracy so far: 0.69625, step 6, accuracy 0.69625
Best accuracy so far: 0.7070833333333333, step 7, accuracy 0.7070833333333333
Best accuracy so far: 0.7125, step 8, accuracy 0.7125
Best accuracy so far: 0.7158333333333333, step 9, accuracy 0.7158333333333333
Best accuracy so far: 0.7183333333333334, step 10, accuracy 0.7183333333333334
Best accuracy so far: 0.7279166666666667, step 11, accuracy 0.7279166666666667
Best accuracy so far: 0.7329166666666667, step 12, accuracy 0.7329166666666667
Best accuracy so far: 0.7375, step 13, accuracy 0.7375
Best accuracy so far: 0.7416666666666667, step 14, accuracy 0.7416666666666667
Best accuracy so far: 0.7416666666666667, step 15, accuracy 0.7383333333333333
Best accuracy so far: 0.7416666666666667, step 16, accuracy 0.7341666666666666
Best accuracy so far: 0.7416666666666667, step 17, accuracy 0.7391666666666666
Best accuracy so far: 0.7416666666666667, step 18, accuracy 0.73125
Best accuracy so far: 0.7416666666666667, step 19, accuracy 0.735
Best accuracy so far: 0.7416666666666667, step 20, accuracy 0.7341666666666666
Best accuracy so far: 0.7416666666666667, step 21, accuracy 0.7316666666666667
Best accuracy so far: 0.7416666666666667, step 22, accuracy 0.7345833333333334
Best accuracy so far: 0.7416666666666667, step 23, accuracy 0.7320833333333333
Best accuracy so far: 0.7416666666666667, step 24, accuracy 0.73375
Best accuracy so far: 0.7416666666666667, step 25, accuracy 0.7325
Best accuracy so far: 0.7416666666666667, step 26, accuracy 0.73375
Best accuracy so far: 0.7416666666666667, step 27, accuracy 0.7358333333333333
Best accuracy so far: 0.7416666666666667, step 28, accuracy 0.7358333333333333
Best accuracy so far: 0.7416666666666667, step 29, accuracy 0.72875
Best accuracy so far: 0.7416666666666667, step 30, accuracy 0.7325
Best accuracy so far: 0.7416666666666667, step 31, accuracy 0.7329166666666667
Best accuracy so far: 0.7416666666666667, step 32, accuracy 0.735
Best accuracy so far: 0.7416666666666667, step 33, accuracy 0.7295833333333334
Best accuracy so far: 0.7416666666666667, step 34, accuracy 0.73125
Best accuracy so far: 0.7416666666666667, step 35, accuracy 0.7375
Best accuracy so far: 0.7416666666666667, step 36, accuracy 0.7404166666666666
Best accuracy so far: 0.7429166666666667, step 37, accuracy 0.7429166666666667
Best accuracy so far: 0.7445833333333334, step 38, accuracy 0.7445833333333334
Best accuracy so far: 0.7445833333333334, step 39, accuracy 0.74125
Best accuracy so far: 0.7445833333333334, step 40, accuracy 0.7366666666666667
Best accuracy so far: 0.7445833333333334, step 41, accuracy 0.7395833333333334
