Generating pseudo labels for product data
pseudo label correct rate is 0.8150484343320568
Data statistic {'art': 2427, 'clipart': 4365, 'real_world': 4357}
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
PromptGenerator                          540,672
├─ParameterList: 1-1                     24,576
=================================================================
Total params: 565,248
Trainable params: 565,248
Non-trainable params: 0
=================================================================
PromptGenerator =================================================================
Layer (type:depth-idx)                   Param #
=================================================================
PromptGenerator                          540,672
├─ParameterList: 1-1                     24,576
=================================================================
Total params: 565,248
Trainable params: 565,248
Non-trainable params: 0
=================================================================
name: ctx_cls, shape torch.Size([65, 16, 512]), require grad: True
name: ctx_target, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.0, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.1, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.2, shape torch.Size([1, 16, 512]), require grad: True
Best accuracy so far: 0.511322463768116, step 1, accuracy 0.511322463768116
Best accuracy so far: 0.6501358695652174, step 2, accuracy 0.6501358695652174
Best accuracy so far: 0.7149003623188406, step 3, accuracy 0.7149003623188406
Best accuracy so far: 0.7626811594202898, step 4, accuracy 0.7626811594202898
Best accuracy so far: 0.7959692028985508, step 5, accuracy 0.7959692028985508
Best accuracy so far: 0.8163496376811594, step 6, accuracy 0.8163496376811594
Best accuracy so far: 0.8278985507246377, step 7, accuracy 0.8278985507246377
Best accuracy so far: 0.8306159420289855, step 8, accuracy 0.8306159420289855
Best accuracy so far: 0.8385416666666666, step 9, accuracy 0.8385416666666666
Best accuracy so far: 0.8475996376811594, step 10, accuracy 0.8475996376811594
Best accuracy so far: 0.8496376811594203, step 11, accuracy 0.8496376811594203
Best accuracy so far: 0.8534873188405797, step 12, accuracy 0.8534873188405797
Best accuracy so far: 0.8555253623188406, step 13, accuracy 0.8555253623188406
Best accuracy so far: 0.860733695652174, step 14, accuracy 0.860733695652174
Best accuracy so far: 0.8609601449275363, step 15, accuracy 0.8609601449275363
Best accuracy so far: 0.8632246376811594, step 16, accuracy 0.8632246376811594
Best accuracy so far: 0.8654891304347826, step 17, accuracy 0.8654891304347826
Best accuracy so far: 0.8686594202898551, step 18, accuracy 0.8686594202898551
Best accuracy so far: 0.8697916666666666, step 19, accuracy 0.8697916666666666
Best accuracy so far: 0.8713768115942029, step 20, accuracy 0.8713768115942029
Best accuracy so far: 0.8713768115942029, step 21, accuracy 0.8691123188405797
Best accuracy so far: 0.8713768115942029, step 22, accuracy 0.8670742753623188
Best accuracy so far: 0.8713768115942029, step 23, accuracy 0.8688858695652174
Best accuracy so far: 0.8713768115942029, step 24, accuracy 0.8684329710144928
Best accuracy so far: 0.8713768115942029, step 25, accuracy 0.8709239130434783
Best accuracy so far: 0.8743206521739131, step 26, accuracy 0.8743206521739131
Best accuracy so far: 0.8752264492753623, step 27, accuracy 0.8752264492753623
Best accuracy so far: 0.876358695652174, step 28, accuracy 0.876358695652174
Best accuracy so far: 0.8765851449275363, step 29, accuracy 0.8765851449275363
Best accuracy so far: 0.8779438405797102, step 30, accuracy 0.8779438405797102
Best accuracy so far: 0.8783967391304348, step 31, accuracy 0.8783967391304348
Best accuracy so far: 0.8817934782608695, step 32, accuracy 0.8817934782608695
Best accuracy so far: 0.8820199275362319, step 33, accuracy 0.8820199275362319
Best accuracy so far: 0.8826992753623188, step 34, accuracy 0.8826992753623188
Best accuracy so far: 0.8851902173913043, step 35, accuracy 0.8851902173913043
Best accuracy so far: 0.8851902173913043, step 36, accuracy 0.8845108695652174
Best accuracy so far: 0.8856431159420289, step 37, accuracy 0.8856431159420289
Best accuracy so far: 0.8903985507246377, step 38, accuracy 0.8903985507246377
Best accuracy so far: 0.890625, step 39, accuracy 0.890625
